,index,gene,pagerank_score,source_disease,ensembl_gene_id,druggability_tier,hgnc_names,chr_b37,start_b37,end_b37,strand,description,no_of_gwas_regions,small_mol_druggable,bio_druggable,adme_gene
0,0,RELN,0.0576702343148327,RestlessLeg,ENSG00000189056,Tier 3A,RELN,7,103112231.0,103629963.0,-1.0,reelin [Source:HGNC Symbol;Acc:9957],1.0,1.0,1.0,1.0
1,1,SNCA,0.0462747411327202,LBD,ENSG00000145335,Tier 2,SNCA,4,90645250.0,90759466.0,-1.0,"synuclein, alpha (non A4 component of amyloid precursor) [Source:HGNC Symbol;Acc:11138]",13.0,1.0,1.0,1.0
1,1,SNCA,0.0462747411327202,PD,ENSG00000145335,Tier 2,SNCA,4,90645250.0,90759466.0,-1.0,"synuclein, alpha (non A4 component of amyloid precursor) [Source:HGNC Symbol;Acc:11138]",13.0,1.0,1.0,1.0
1,1,SNCA,0.0462747411327202,SCZ,ENSG00000145335,Tier 2,SNCA,4,90645250.0,90759466.0,-1.0,"synuclein, alpha (non A4 component of amyloid precursor) [Source:HGNC Symbol;Acc:11138]",13.0,1.0,1.0,1.0
2,2,TLR4,0.0441994869074131,MajorDepressiveDisorder,ENSG00000136869,Tier 2,TLR4,9,120466610.0,120479149.0,1.0,toll-like receptor 4 [Source:HGNC Symbol;Acc:11850],0.0,1.0,1.0,1.0
3,3,APOE,0.0315830148784002,AD,ENSG00000130203,Tier 3A,APOE,19,45409011.0,45412650.0,1.0,apolipoprotein E [Source:HGNC Symbol;Acc:613],84.0,1.0,1.0,1.0
3,3,APOE,0.0315830148784002,LBD,ENSG00000130203,Tier 3A,APOE,19,45409011.0,45412650.0,1.0,apolipoprotein E [Source:HGNC Symbol;Acc:613],84.0,1.0,1.0,1.0
3,3,APOE,0.0315830148784002,MajorDepressiveDisorder,ENSG00000130203,Tier 3A,APOE,19,45409011.0,45412650.0,1.0,apolipoprotein E [Source:HGNC Symbol;Acc:613],84.0,1.0,1.0,1.0
3,3,APOE,0.0315830148784002,PD,ENSG00000130203,Tier 3A,APOE,19,45409011.0,45412650.0,1.0,apolipoprotein E [Source:HGNC Symbol;Acc:613],84.0,1.0,1.0,1.0
3,3,APOE,0.0315830148784002,SCZ,ENSG00000130203,Tier 3A,APOE,19,45409011.0,45412650.0,1.0,apolipoprotein E [Source:HGNC Symbol;Acc:613],84.0,1.0,1.0,1.0
6,6,APP,0.0225480449096949,AD,ENSG00000142192,Tier 1,APP,21,27252861.0,27543446.0,-1.0,amyloid beta (A4) precursor protein [Source:HGNC Symbol;Acc:620],0.0,1.0,1.0,1.0
7,7,PRKD1,0.0203259731827638,MajorDepressiveDisorder,ENSG00000184304,Tier 1,PRKD1,14,30045687.0,30661104.0,-1.0,protein kinase D1 [Source:HGNC Symbol;Acc:9407],2.0,1.0,1.0,1.0
7,7,PRKD1,0.0203259731827638,MS,ENSG00000184304,Tier 1,PRKD1,14,30045687.0,30661104.0,-1.0,protein kinase D1 [Source:HGNC Symbol;Acc:9407],2.0,1.0,1.0,1.0
7,7,PRKD1,0.0203259731827638,SCZ,ENSG00000184304,Tier 1,PRKD1,14,30045687.0,30661104.0,-1.0,protein kinase D1 [Source:HGNC Symbol;Acc:9407],2.0,1.0,1.0,1.0
8,8,DCC,0.0176024859482017,AnorexiaNervosa,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
8,8,DCC,0.0176024859482017,BipolarDisorder,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
8,8,DCC,0.0176024859482017,MajorDepressiveDisorder,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
8,8,DCC,0.0176024859482017,OCD,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
8,8,DCC,0.0176024859482017,SCZ,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
8,8,DCC,0.0176024859482017,Tourette,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
9,9,GRIA1,0.0138418502790259,AD,ENSG00000155511,Tier 1,GRIA1,5,152869175.0,153193429.0,1.0,"glutamate receptor, ionotropic, AMPA 1 [Source:HGNC Symbol;Acc:4571]",1.0,1.0,1.0,1.0
9,9,GRIA1,0.0138418502790259,MajorDepressiveDisorder,ENSG00000155511,Tier 1,GRIA1,5,152869175.0,153193429.0,1.0,"glutamate receptor, ionotropic, AMPA 1 [Source:HGNC Symbol;Acc:4571]",1.0,1.0,1.0,1.0
9,9,GRIA1,0.0138418502790259,RestlessLeg,ENSG00000155511,Tier 1,GRIA1,5,152869175.0,153193429.0,1.0,"glutamate receptor, ionotropic, AMPA 1 [Source:HGNC Symbol;Acc:4571]",1.0,1.0,1.0,1.0
9,9,GRIA1,0.0138418502790259,SCZ,ENSG00000155511,Tier 1,GRIA1,5,152869175.0,153193429.0,1.0,"glutamate receptor, ionotropic, AMPA 1 [Source:HGNC Symbol;Acc:4571]",1.0,1.0,1.0,1.0
10,10,FYN,0.0128662139200556,PD,ENSG00000010810,Tier 1,FYN,6,111981535.0,112194655.0,-1.0,"FYN oncogene related to SRC, FGR, YES [Source:HGNC Symbol;Acc:4037]",1.0,1.0,1.0,1.0
10,10,FYN,0.0128662139200556,SCZ,ENSG00000010810,Tier 1,FYN,6,111981535.0,112194655.0,-1.0,"FYN oncogene related to SRC, FGR, YES [Source:HGNC Symbol;Acc:4037]",1.0,1.0,1.0,1.0
13,13,LRFN5,0.0098396028469904,BipolarDisorder,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
13,13,LRFN5,0.0098396028469904,MajorDepressiveDisorder,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
15,15,GRIN2A,0.0085336176083661,AnorexiaNervosa,ENSG00000183454,Tier 1,GRIN2A,16,9852376.0,10276611.0,-1.0,"glutamate receptor, ionotropic, N-methyl D-aspartate 2A [Source:HGNC Symbol;Acc:4585]",3.0,1.0,1.0,1.0
