,index,gene,pagerank_score,source_disease,ensembl_gene_id,druggability_tier,hgnc_names,chr_b37,start_b37,end_b37,strand,description,no_of_gwas_regions,small_mol_druggable,bio_druggable,adme_gene
0,0,FYN,0.0278157347334341,PD,ENSG00000010810,Tier 1,FYN,6,111981535.0,112194655.0,-1.0,"FYN oncogene related to SRC, FGR, YES [Source:HGNC Symbol;Acc:4037]",1.0,1.0,0.6,0.6
0,0,FYN,0.0278157347334341,Schizophrenia,ENSG00000010810,Tier 1,FYN,6,111981535.0,112194655.0,-1.0,"FYN oncogene related to SRC, FGR, YES [Source:HGNC Symbol;Acc:4037]",1.0,1.0,0.6,0.6
1,1,TGFB1,0.0188289451068194,MigraineDisorder,ENSG00000105329,Tier 1,TGFB1,19,41807492.0,41859816.0,-1.0,"transforming growth factor, beta 1 [Source:HGNC Symbol;Acc:11766]",1.0,1.0,1.0,0.6
2,2,MAPK3,0.0111159344940238,MS,ENSG00000102882,Tier 1,MAPK3,16,30125426.0,30134827.0,-1.0,mitogen-activated protein kinase 3 [Source:HGNC Symbol;Acc:6877],1.0,1.0,0.6,0.6
3,3,IL2,0.0106041573169802,BipolarDisorder,ENSG00000109471,Tier 1,IL2,4,123372625.0,123377880.0,-1.0,interleukin 2 [Source:HGNC Symbol;Acc:6001],9.0,0.6,1.0,0.6
3,3,IL2,0.0106041573169802,UnipolarDepression,ENSG00000109471,Tier 1,IL2,4,123372625.0,123377880.0,-1.0,interleukin 2 [Source:HGNC Symbol;Acc:6001],9.0,0.6,1.0,0.6
4,4,MAPK1,0.0097955187097841,MS,ENSG00000100030,Tier 1,MAPK1,22,22108789.0,22221970.0,-1.0,mitogen-activated protein kinase 1 [Source:HGNC Symbol;Acc:6871],1.0,1.0,0.6,0.6
5,5,STAT3,0.0094196205282766,MS,ENSG00000168610,Tier 1,STAT3,17,40465342.0,40540586.0,-1.0,signal transducer and activator of transcription 3 (acute-phase response factor) [Source:HGNC Symbol;Acc:11364],6.0,1.0,1.0,0.6
6,6,TYK2,0.0084978572062085,MS,ENSG00000105397,Tier 1,TYK2,19,10461209.0,10491352.0,-1.0,tyrosine kinase 2 [Source:HGNC Symbol;Acc:12440],7.0,1.0,0.6,0.6
7,7,HGF,0.0079147371489736,AD,ENSG00000019991,Tier 1,HGF,7,81328322.0,81399754.0,-1.0,hepatocyte growth factor (hepapoietin A; scatter factor) [Source:HGNC Symbol;Acc:4893],0.0,1.0,1.0,0.6
8,8,TNFRSF1A,0.0069891311275429,MS,ENSG00000067182,Tier 1,TNFRSF1A,12,6437923.0,6451280.0,-1.0,"tumor necrosis factor receptor superfamily, member 1A [Source:HGNC Symbol;Acc:11916]",3.0,1.0,1.0,0.6
9,9,FGFR3,0.006757796371956,PartialEpilepsy,ENSG00000068078,Tier 1,FGFR3,4,1795034.0,1810599.0,1.0,fibroblast growth factor receptor 3 [Source:HGNC Symbol;Acc:3690],0.0,1.0,1.0,0.6
10,10,CXCR4,0.0060889170128677,MS,ENSG00000121966,Tier 1,CXCR4,2,136871919.0,136875735.0,-1.0,chemokine (C-X-C motif) receptor 4 [Source:HGNC Symbol;Acc:2561],0.0,1.0,1.0,0.6
11,11,CCR4,0.0053842596657917,MS,ENSG00000183813,Tier 1,CCR4,3,32993066.0,32997841.0,1.0,chemokine (C-C motif) receptor 4 [Source:HGNC Symbol;Acc:1605],1.0,1.0,1.0,0.6
12,12,PDGFRB,0.0053119532755269,PD,ENSG00000113721,Tier 1,PDGFRB,5,149493400.0,149535435.0,-1.0,"platelet-derived growth factor receptor, beta polypeptide [Source:HGNC Symbol;Acc:8804]",0.0,1.0,1.0,0.6
13,13,ERBB2,0.0052879237738704,BipolarDisorder,ENSG00000141736,Tier 1,ERBB2,17,37844167.0,37886679.0,1.0,v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2 [Source:HGNC Symbol;Acc:3430],3.0,1.0,1.0,0.6
14,14,CXCR5,0.0050132709125612,MS,ENSG00000160683,Tier 1,CXCR5,11,118754475.0,118768508.0,1.0,chemokine (C-X-C motif) receptor 5 [Source:HGNC Symbol;Acc:1060],2.0,1.0,1.0,0.6
16,16,FGFR1,0.0045494649835004,BipolarDisorder,ENSG00000077782,Tier 1,FGFR1,8,38268656.0,38326352.0,-1.0,fibroblast growth factor receptor 1 [Source:HGNC Symbol;Acc:3688],1.0,1.0,1.0,0.6
16,16,FGFR1,0.0045494649835004,Schizophrenia,ENSG00000077782,Tier 1,FGFR1,8,38268656.0,38326352.0,-1.0,fibroblast growth factor receptor 1 [Source:HGNC Symbol;Acc:3688],1.0,1.0,1.0,0.6
17,17,LRP1,0.0045238104538683,MigraineDisorder,ENSG00000123384,Tier 3A,LRP1,12,57522276.0,57607134.0,1.0,low density lipoprotein receptor-related protein 1 [Source:HGNC Symbol;Acc:6692],7.0,0.6,1.0,0.6
17,17,LRP1,0.0045238104538683,MigraineWithAura,ENSG00000123384,Tier 3A,LRP1,12,57522276.0,57607134.0,1.0,low density lipoprotein receptor-related protein 1 [Source:HGNC Symbol;Acc:6692],7.0,0.6,1.0,0.6
17,17,LRP1,0.0045238104538683,Schizophrenia,ENSG00000123384,Tier 3A,LRP1,12,57522276.0,57607134.0,1.0,low density lipoprotein receptor-related protein 1 [Source:HGNC Symbol;Acc:6692],7.0,0.6,1.0,0.6
18,18,GPR20,0.0043609367048811,AnorexiaNervosa,ENSG00000204882,Tier 3B,GPR20,8,142366600.0,142377367.0,-1.0,G protein-coupled receptor 20 [Source:HGNC Symbol;Acc:4475],0.0,1.0,1.0,0.6
